"Id","IsDeleted","CreatedDate","Active_Color__c","Dat_Initial_Assessment__c","Date_assigned_to_staff__c","Date_Turned_Purple__c","Date_Resume_Completed__c","Confirmed_Hired_Date__c","Date_turned_grey__c","Date_turned_green__c","Date_Turned_Blue__c","Attended_Day_1__c","Attended_Day_2__c","Compass_Participant__c","Career_Counseling__c","Date_Attended_HHUSA_Workshop__c","Career_Day_Participant__c","Created_LinkedIn_account__c","Service_Rank__c","HHUSA_Workshop_Participant__c","New_Date_Turned_green__c","New_Date_Turned_Blue__c","Days_To_Get_Hired","Assessment_Date","Assigned_Date","Assessment_Time_inDAYS","Resume_Date","Resume_Time_inDAYS"
0033800002TLT7WAAX,0,23AUG15:23:43:00,Blue,25AUG15:00:00:00,24AUG15:00:00:00,,26AUG15:00:00:00,23OCT15:00:00:00,,26AUG15:00:00:00,23OCT15:00:00:00,0,0,0,,,0,1,E-4,0,20326,20384,58,20325,20324,1,20326,1
0033800002TLT85AAH,0,24AUG15:00:02:00,Blue,09AUG15:00:00:00,31AUG15:00:00:00,14SEP15:00:00:00,14SEP15:00:00:00,22DEC15:00:00:00,,10MAY15:00:00:00,01APR16:00:00:00,0,0,0,,,0,0,E-6,0,20218,20545,327,20309,20331,-22,20345,36
0033800002TLUTfAAP,0,24AUG15:11:36:00,Blue,24AUG15:00:00:00,24AUG15:00:00:00,,24AUG15:00:00:00,28OCT15:00:00:00,,24AUG15:00:00:00,28OCT15:00:00:00,0,0,0,,,0,1,E-8,0,20324,20389,65,20324,20324,0,20324,0
0033800002TLUzdAAH,0,24AUG15:13:38:00,Blue,24AUG15:00:00:00,24AUG15:00:00:00,,24AUG15:00:00:00,09OCT15:00:00:00,,24AUG15:00:00:00,25SEP15:00:00:00,0,0,0,,,0,0,N/A,0,20324,20356,32,20324,20324,0,20324,0
0033800002TLUzkAAH,0,24AUG15:13:38:00,Blue,24AUG15:00:00:00,24AUG15:00:00:00,,24AUG15:00:00:00,23NOV15:00:00:00,,24AUG15:00:00:00,23NOV15:00:00:00,0,0,0,,,0,1,E-7,0,20324,20415,91,20324,20324,0,20324,0
0033800002TLUznAAH,0,24AUG15:13:38:00,Blue,24AUG15:00:00:00,24AUG15:00:00:00,,25AUG15:00:00:00,10JUL15:00:00:00,,25AUG15:00:00:00,10JUL15:00:00:00,0,0,0,,,0,0,E-4,0,20325,20279,-46,20324,20324,0,20325,1
0033800002TLVtFAAX,0,24AUG15:15:35:00,Blue,09JAN15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,23NOV15:00:00:00,,09FEB15:00:00:00,23NOV15:00:00:00,0,0,0,,,0,1,E-5,0,20128,20415,287,20097,20331,-234,20128,31
0033800002TLWiNAAX,0,24AUG15:17:16:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,11SEP15:00:00:00,,09MAR15:00:00:00,23NOV15:00:00:00,0,0,0,,,0,1,O-2,0,20156,20415,259,20331,20331,0,20156,-175
0033800002TLWtyAAH,0,24AUG15:17:32:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,20NOV15:00:00:00,,09MAR15:00:00:00,20NOV15:00:00:00,0,0,0,,,0,0,E-5,0,20156,20412,256,20331,20331,0,20156,-175
0033800002TLXLxAAP,0,24AUG15:18:37:00,Blue,09FEB15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,23NOV15:00:00:00,,09FEB15:00:00:00,23NOV15:00:00:00,0,0,0,,,0,1,E-7,0,20128,20415,287,20128,20331,-203,20128,0
0033800002TLXMqAAP,0,24AUG15:18:38:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09FEB15:00:00:00,16DEC15:00:00:00,,09FEB15:00:00:00,16DEC15:00:00:00,0,0,0,,,0,1,E-8,0,20128,20438,310,20331,20331,0,20128,-203
0033800002TLXVxAAP,0,24AUG15:19:02:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09SEP15:00:00:00,11MAR15:00:00:00,,09SEP15:00:00:00,11MAR15:00:00:00,0,0,0,,,0,0,E-5,0,20340,20158,-182,20331,20331,0,20340,9
0033800002TLYBUAA5,0,24AUG15:20:12:00,Blue,,31AUG15:00:00:00,,27AUG15:00:00:00,10JUL15:00:00:00,,27AUG15:00:00:00,10JUL15:00:00:00,0,0,0,,,0,0,E-1,0,20327,20279,-48,,20331,,20327,
0033800002TLYrzAAH,0,24AUG15:21:37:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,09MAR15:00:00:00,12SEP15:00:00:00,,09MAR15:00:00:00,12SEP15:00:00:00,0,0,0,,,0,0,E-5,0,20156,20343,187,20331,20331,0,20156,-175
0033800002TLYsdAAH,0,24AUG15:21:37:00,Blue,31AUG15:00:00:00,31AUG15:00:00:00,,14SEP15:00:00:00,25NOV15:00:00:00,,14SEP15:00:00:00,25NOV15:00:00:00,0,0,0,,,0,0,E-5,0,20345,20417,72,20331,20331,0,20345,14
0033800002TLZ0SAAX,0,24AUG15:22:03:00,Blue,09MAR15:00:00:00,31AUG15:00:00:00,,09APR15:00:00:00,10FEB15:00:00:00,,09APR15:00:00:00,10FEB15:00:00:00,0,0,0,,,0,0,E-5,0,20187,20129,-58,20156,20331,-175,20187,31
