Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,BusinessHoursId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,RecordTypeId,Status,Reason,Origin,IsVisibleInSelfService,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,HasCommentsUnreadByOwner,HasSelfServiceComments,OwnerId,IsClosedOnCreate,IsSelfServiceClosed,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,EventsProcessedDate,geopointe__Geocode__c,Date_of_Original_Request__c,Has_the_client_missed_this_opportunity__c
5003800000gfbKfAAI,0,2094,00350000029z09XAAQ,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Client Unresponsive,Federal Resume Review,,1,Federal (USAjobs) Resume Review,Non - Urgent,X,1,11/3/2015 20:47,0,0,0,005500000041OZSAA2,0,0,8/24/2015 12:54,005500000043MkIAAU,11/3/2015 20:47,005500000041OZSAA2,11/3/2015 20:47,,,8/24/2015 0:00,
5003800000gfbj6AAA,0,2095,0035000002TJXOKAA5,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Completed,Mock Interview,,1,Mock interview for Michael Burke,Non - Urgent,X,1,9/2/2015 16:31,0,0,0,005500000041OZSAA2,0,0,8/24/2015 13:19,005500000043jE0AAI,9/2/2015 16:31,005500000041OZSAA2,11/3/2015 14:08,,,8/24/2015 0:00,
5003800000gfdm2AAA,0,2096,0035000002TK0wHAAT,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Pending,Career Counseling,,1,Mentor for Christina Denno,Non - Urgent,X,0,,0,0,0,00550000003HPRIAA4,0,0,8/24/2015 14:34,005500000042TrsAAE,8/26/2015 12:34,00550000003HPRIAA4,11/3/2015 14:08,,,8/24/2015 0:00,
5003800000gfdomAAA,0,2097,0035000002PUn3iAAD,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Pending,Federal Resume Review,,1,Federal Resume Review- original on file,Non - Urgent,X,0,,0,0,0,005500000041OZSAA2,0,0,8/24/2015 14:36,005500000042c6HAAQ,8/24/2015 15:30,005500000041OZSAA2,11/3/2015 14:08,,,8/24/2015 0:00,
5003800000gffAyAAI,0,2098,00350000026RPuXAAW,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Request Withdrawn,Mock Interview,,1,Terrance Moore mock interview request,Non - Urgent,X,1,12/11/2015 19:50,0,0,0,005500000041OZSAA2,0,0,8/24/2015 15:33,00550000001YDwUAAW,12/11/2015 19:50,005500000041OZSAA2,12/11/2015 19:50,,,8/24/2015 0:00,
5003800000gfij8AAA,0,2099,0033800002TLUzkAAH,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Completed,Mock Interview,,1,Mock Interview for Maritime Security Position,Non - Urgent,X,1,9/3/2015 17:34,0,0,0,005500000041OZSAA2,0,0,8/24/2015 18:01,005500000042TrxAAE,9/3/2015 17:34,005500000041OZSAA2,11/3/2015 14:08,,,8/24/2015 0:00,
5003800000gfknRAAQ,0,2100,0035000002StmS0AAJ,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Completed,Career Counseling,,1,Follow up to mock interview,Non - Urgent,X,1,8/24/2015 19:45,0,0,0,005500000041OZSAA2,0,0,8/24/2015 19:45,005500000041OZSAA2,8/24/2015 19:45,005500000041OZSAA2,11/3/2015 14:08,,,8/18/2015 0:00,
5003800000gflJ3AAI,0,2101,0035000001vMzzaAAC,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Client Unresponsive,Federal Resume Review,,1,Federal Resume Assistance,Non - Urgent,X,1,11/3/2015 20:49,0,0,0,005500000041OZSAA2,0,0,8/24/2015 20:11,00550000002dti4AAA,11/3/2015 20:49,005500000041OZSAA2,11/3/2015 20:49,,,8/24/2015 0:00,
5003800000gflRMAAY,0,2102,0033800002TLUzgAAH,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Client Unresponsive,Mock Interview,,1,Mock Interview for Project Management Professional,Non - Urgent,X,1,11/17/2015 18:18,0,0,0,005500000041OZSAA2,0,0,8/24/2015 20:17,005500000042TrxAAE,11/17/2015 18:18,00538000004gWICAA2,11/17/2015 18:18,,,8/24/2015 0:00,
5003800000gfnBLAAY,0,2103,0035000002QXDWEAA5,0015000000KUwKAAA1,000000000000000AAA,01m50000000H2OwAAK,000000000000000AAA,,,,,Volunteer Request,01250000000Lwxa,Completed,Mock Interview,,1,URGENT: Mock Interview for James Bivens,Urgent,X,1,8/26/2015 15:18,0,0,0,005500000041OZSAA2,0,0,8/24/2015 21:55,005500000042TrsAAE,11/5/2015 13:41,00538000004gWICAA2,11/5/2015 13:41,,,8/24/2015 0:00,
