"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"012380000009vxVAAQ","Onward to Opportunity","","Onward to Opportunity referred client","","Contact","1","00538000004gsNsAAI","2015-10-29 17:46:22","00550000002Ccz4AAC","2015-12-21 22:17:04","2015-12-21 22:17:04","0"
"012380000009vxkAAA","Volunteer","","For Hire Heroes Volunteer Form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2015-11-05 19:23:05","00538000004gsNsAAI","2015-11-23 14:11:56","2015-11-23 14:11:56","0"
"012380000009vyEAAQ","Workshop","","A campaign used to track workshop participants","","Campaign","1","00538000004gsNsAAI","2015-11-10 17:33:37","00538000004gsNsAAI","2015-11-12 18:45:12","2015-11-12 18:45:12","0"
"012500000000r6BAAQ","Potential Employer","","These are leads coming in from the Contact Us Page of the Hire Heroes USa website, or ones manually entered as leads.","019500000004bW5AAI","Lead","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-10-10 15:32:05","2014-10-10 15:32:05","0"
"012500000000r6CAAQ","MajorGift","","Use this record type for major gift initiatives","019500000004bW8AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"012500000000r6DAAQ","Membership","","Use this record type for memberships","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"012500000000r6EAAQ","Donation","","Use this record type for standard donations","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"012500000000r6FAAQ","MatchingDonation","","Use this record type for matching donations","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"012500000000r6GAAQ","PledgePayment","","Use this record type for pledge payments on a pledge","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
"012500000000r6HAAQ","Grant","","Use this record type for grant applications","019500000004bW7AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00550000000z4FcAAI","2014-11-14 15:43:52","2014-11-14 15:43:52","0"
