"Id","Name","ParentRoleId","RollupDescription","OpportunityAccessForAccountOwner","CaseAccessForAccountOwner","ContactAccessForAccountOwner","ForecastUserId","MayForecastManagerShare","LastModifiedDate","LastModifiedById","SystemModstamp","PortalAccountId","PortalType","PortalRole","PortalAccountOwnerId"
"00E38000000uStOEAU","O2O Coordinator","00E38000001X3sBEAS","Employment Opportunities","Edit","Edit","Edit","","0","2015-11-18 13:57:21","00538000004gsNsAAI","2015-11-18 13:57:21","","None","",""
"00E38000000uWrWEAU","Alpharetta Blue Office Manager","00E50000001NuuFEAS","Alpharetta Blue","Edit","Edit","Edit","","0","2015-12-01 23:55:45","00538000004gsNsAAI","2015-12-01 23:55:45","","None","",""
"00E38000000uWrbEAE","Alpharetta Blue VTS","00E38000000uWrWEAU","Alpharetta Blue","Edit","Edit","Edit","","0","2015-12-02 00:17:20","00538000004gsNsAAI","2015-12-02 00:17:20","","None","",""
"00E38000000uYRpEAM","Director","00E50000000o80kEAA","Director","Edit","Edit","Edit","","0","2015-12-07 18:58:05","00538000004gsNsAAI","2015-12-07 18:58:05","","None","",""
"00E38000000ubYAEAY","Manager, Corporate Outreach","00E50000001Nuu0EAC","Corporate Outreach","Edit","Edit","Edit","","0","2015-12-22 14:22:48","00538000004gsNsAAI","2015-12-22 14:22:48","","None","",""
"00E38000001X0RvEAK","Dallas VTS (former)","00E50000001NuuPEAS","Dallas","Edit","Edit","Edit","","0","2015-12-16 17:23:47","00538000004gsNsAAI","2015-12-16 17:23:47","","None","",""
"00E38000001X0S0EAK","Alpharetta VTS (former)","00E50000001NuuKEAS","Alpharetta","Edit","Edit","Edit","","0","2015-08-26 17:08:53","00550000002Ccz4AAC","2015-08-26 17:08:53","","None","",""
"00E38000001X0S5EAK","Raleigh VTS (former)","00E50000001NuuUEAS","Raleigh","Edit","Edit","Edit","","0","2015-08-26 17:08:47","00550000002Ccz4AAC","2015-08-26 17:08:47","","None","",""
"00E38000001X0SAEA0","Colorado Springs VTS (former)","00E50000001NuuoEAC","Colorado Springs","Edit","Edit","Edit","","0","2015-08-26 17:08:38","00550000002Ccz4AAC","2015-08-26 17:08:38","","None","",""
"00E38000001X0SFEA0","Seattle VTS (former)","00E50000001NuueEAC","Seattle","Edit","Edit","Edit","","0","2015-08-26 17:08:32","00550000002Ccz4AAC","2015-08-26 17:08:32","","None","",""
"00E38000001X0SKEA0","San Diego VTS (former)","00E50000001NuuZEAS","San Diego","Edit","Edit","Edit","","0","2015-08-26 17:08:25","00550000002Ccz4AAC","2015-08-26 17:08:25","","None","",""
"00E38000001X3sBEAS","Manager, Employment Opportunities","00E50000001Nuu0EAC","Employment Opportunities","Edit","Edit","Edit","","0","2015-09-10 14:46:07","00550000002Ccz4AAC","2015-09-10 14:46:07","","None","",""
"00E50000000o80kEAA","CEO","000000000000000AAA","CEO","Edit","Edit","Edit","","0","2008-05-19 13:54:06","00550000000z4FcAAI","2008-05-19 13:54:06","","None","",""
"00E50000000o80qEAA","Recruiter","000000000000000AAA","Recruiter","Edit","Edit","Edit","","0","2008-08-11 16:53:29","00550000000z4FcAAI","2008-08-11 16:53:29","","None","",""
"00E50000000o80rEAA","Accounting","00E50000000o80kEAA","Accounting","Edit","Edit","Edit","","0","2007-04-06 15:56:11","00550000000yo44AAA","2007-04-06 15:56:11","","None","",""
"00E50000000o80zEAA","Events Coordinator","00E50000000o80kEAA","Events Coordinator","Edit","Edit","Edit","","0","2007-06-08 21:35:08","00550000000yo44AAA","2007-06-08 21:35:08","","None","",""
"00E50000000oDmzEAE","Sourcer","00E50000000o80qEAA","Sourcer","Edit","Edit","Edit","","0","2007-06-08 17:26:01","00550000000xADhAAM","2007-06-08 17:26:01","","None","",""
"00E50000000oDn4EAE","Fundraiser","00E50000000o80rEAA","Fundraiser","Edit","Edit","Edit","","0","2007-06-07 23:36:39","00550000000xADhAAM","2007-06-07 23:36:39","","None","",""
